gene-B7P43_CG16072	PNF38079.1
gene-B7P43_CG16074	PNF38082.1
gene-Avbf_17434	RXG56360.1
gene-Avbf_17433	RXG56361.1
gene-Avbf_15963	RXG60353.1
gene-Avbf_15968	RXG60354.1
gene-Avbf_15967	RXG60356.1
gene-Avbf_15965	RXG60358.1
gene-Avbf_10214	RXG62107.1
gene-Avbf_10215	RXG62108.1
gene-Avbf_10212	RXG62109.1
gene-Avbf_10213	RXG62110.1
gene-Avbf_10210	RXG62111.1
gene-Avbf_09773	RXG72846.1
gene-CINCED_3A012149	VVC27533.1
gene-LOC105155088	XP_011049088.1 
gene-LOC105143141	XP_011049540.1 
gene-LOC105143252	XP_011049770.1 
gene-LOC105147401	XP_011056685.1 
gene-LOC105147408	XP_011056697.1 
gene-LOC105147414	XP_011056711.1 
gene-LOC105147427	XP_011056726.1 
gene-LOC105147435	XP_011056737.1 
gene-LOC105147442	XP_011056751.1 
gene-LOC105154224	XP_011067887.1 
gene-LOC105154616	XP_011068570.1 
gene-LOC105154617	XP_011068571.1 
gene-LOC105154804	XP_011068831.1 
gene-Wxf_03234	OJH30279.1 
gene-Wxf_03226	OJH30292.1 
gene-Wxf_03228	OJH30294.1 
gene-Wxf_03230	OJH30295.1 
gene-Wxf_03233	OJH30298.1 
gene-Wxf_03207	OJH30302.1 
gene-Wxf_03208	OJH30303.1 
gene-Wxf_03209	OJH30304.1 
gene-Wxf_03216	OJH30310.1 
gene-Wxf_03218	OJH30312.1 
gene-Wxf_03195	OJH30315.1 
gene-Wxf_03200	OJH30319.1 
gene-Wxf_03105	OJH30323.1 
gene-Wxf_03109	OJH30327.1 
gene-Wxf_03110	OJH30328.1 
gene-Wxf_03117	OJH30335.1 
gene-Wxf_03118	OJH30336.1 
gene-Wxf_03121	OJH30339.1 
gene-Wxf_03123	OJH30340.1 
gene-Wxf_03130	OJH30347.1 
gene-Wxf_03133	OJH30350.1 
gene-Wxf_03134	OJH30351.1 
gene-Wxf_03140	OJH30357.1 
gene-Wxf_03156	OJH30373.1 
gene-Wxf_03160	OJH30377.1 
gene-Wxf_03163	OJH30380.1 
gene-Wxf_03166	OJH30383.1 
gene-Wxf_03171	OJH30388.1 
gene-Wxf_03177	OJH30393.1 
gene-Wxf_03178	OJH30394.1 
gene-Wxf_03181	OJH30397.1 
gene-Wxf_03187	OJH30402.1 
gene-Wxf_03189	OJH30404.1 
gene-Wxf_03191	OJH30406.1 
gene-Wxf_03038	OJH30412.1 
gene-Wxf_03040	OJH30414.1 
gene-Wxf_03042	OJH30416.1 
gene-Wxf_03043	OJH30417.1 
gene-Wxf_03046	OJH30420.1 
gene-Wxf_03049	OJH30423.1 
gene-Wxf_03061	OJH30434.1 
gene-Wxf_03062	OJH30435.1 
gene-Wxf_03063	OJH30436.1 
gene-Wxf_03064	OJH30437.1 
gene-Wxf_03065	OJH30438.1 
gene-Wxf_03066	OJH30439.1 
gene-Wxf_03067	OJH30440.1 
gene-Wxf_03068	OJH30441.1 
gene-Wxf_03075	OJH30447.1 
gene-Wxf_03081	OJH30453.1 
gene-Wxf_03088	OJH30460.1 
gene-Wxf_03090	OJH30462.1 
gene-Wxf_03091	OJH30463.1 
gene-Wxf_03092	OJH30464.1 
gene-Wxf_03095	OJH30467.1 
gene-Wxf_03104	OJH30475.1 
gene-Wxf_02978	OJH30480.1 
gene-Wxf_02979	OJH30481.1 
gene-Wxf_02982	OJH30484.1 
gene-Wxf_02993	OJH30495.1 
gene-Wxf_03000	OJH30502.1 
gene-Wxf_03001	OJH30503.1 
gene-Wxf_03005	OJH30507.1 
gene-Wxf_03011	OJH30513.1 
gene-Wxf_03013	OJH30515.1 
